topic,number,createdOn,lastUpdated
PRHF-26875,3126292,1669644572,1669702565
PRHF-26888,3126297,1669646365,1669659986
PRHF-26888,3126298,1669646449,1669659971
PRHF-26876,3125930,1669632393,1669644418
PRHF-26876,3125860,1669630582,1669643581
PRHF-26876,3125797,1669628699,1669643579
PRHF-26876,3125865,1669631996,1669643574
PRHF-26876,3125856,1669630374,1669643572
PRHF-26876,3125855,1669630278,1669643571
PRHF-26876,3125854,1669630037,1669643570
PRHF-26876,3125858,1669630447,1669643569
PRJ-42042,3118824,1669536142,1669537141
PRJ-42042,3118826,1669536297,1669537130
PRJ-42041,3118825,1669536270,1669536723
PRJ-42041,3118823,1669536076,1669536715
PRHF-26818,3115031,1669216611,1669217632
PRHF-26818,3115030,1669216520,1669217622
PRHF-26774,3114569,1669202969,1669205257
PRJ-39106,3114470,1669199648,1669199945
PRJ-39106,3114366,1669199387,1669199729
PRHF-26774,3110747,1669119519,1669138833
PRHF-26774,3110895,1669120557,1669138832
PRHF-26774,3110894,1669120420,1669138827
PRHF-26774,3110893,1669120318,1669138822
PRJ-42409,3110989,1669121525,1669128388
PRJ-42408,3110897,1669120857,1669128341
PRJ-42409,3110899,1669120966,1669128324
PRJ-42408,3110906,1669121348,1669128306
PRJ-42410,3110992,1669121727,1669124128
PRJ-42410,3110901,1669121023,1669124113
PRHF-26774,3106647,1669049226,1669119647
PRHF-26774,3106645,1669046356,1669119641
PRHF-26786,3110512,1669108235,1669118534
PRHF-26786,3110510,1669108131,1669118515
PRHF-26786,3110509,1669108065,1669118483
PRHF-26786,3110511,1669108231,1669118469
PRHF-26725,3103814,1668957877,1669045506
PRHF-26725,3105800,1669019526,1669045494
PRJ-35733,3104082,1668963654,1668965680
PRJ-35733,3104083,1668963773,1668965661
PRJ-35728,3104073,1668962840,1668965502
PRJ-35728,3104075,1668962932,1668965482
PRJ-35732,3104079,1668963270,1668964501
PRJ-35732,3104080,1668963351,1668964481
PRJ-42729,3103828,1668961046,1668962435
PRJ-42729,3103827,1668960976,1668962416
PRJ-42729,3104070,1668961183,1668962404
PRJ-42728,3103822,1668960365,1668962251
PRJ-42728,3103824,1668960722,1668962232
PRJ-42728,3103821,1668960296,1668962220
PRJ-42727,3103819,1668959900,1668962177
PRJ-42727,3103818,1668959768,1668962157
PRJ-42727,3103820,1668959994,1668962145
PRHF-26736,3103811,1668956027,1668957259
PRHF-26736,3103144,1668943920,1668954489
PRHF-26736,3103143,1668943806,1668954484
PRHF-26736,3103142,1668943756,1668954479
PRHF-26742,3103148,1668946553,1668949423
PRHF-26742,3103390,1668947634,1668949422
PRHF-26742,3103389,1668946637,1668949411
PRHF-26712,3094438,1668602480,1668941197
PRHF-26712,3094439,1668602544,1668941196
PRHF-26712,3094440,1668602634,1668941178
PRHF-26724,3097413,1668687186,1668693864
PRHF-26724,3097410,1668687060,1668693647
PRHF-26724,3097414,1668687189,1668693551
PRHF-26724,3097409,1668686949,1668693535
PRHF-26681,3089404,1668422214,1668428920
PRHF-26681,3089549,1668427277,1668428918
PRHF-26681,3089403,1668422088,1668428917
PRHF-26676,3089204,1668415963,1668416283
PRHF-26676,3089203,1668415739,1668416271
PRHF-26655,3086297,1668326792,1668330069
PRHF-26655,3086296,1668326665,1668330062
PRHF-26623,3078198,1667990147,1668002230
PRHF-26623,3078196,1667989612,1668002223
